,Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,Protein_to_Carbs_ratio,Carbs_to_Fat_ratio
105,paleo,Swiss Paleo’s Homemade Italian & Chorizo Sausage,italian,1273.61,83.34,1608.54,10/16/2022,17:21:11,15.282097248834924,0.05181095897409392
7448,dash,Salmon Mousse,nordic,1239.47,22.4,983.36,10/16/2022,20:38:27,55.33347967261252,0.02277904325701773
7741,dash,Homemade Turkey Alphabet Soup,american,1190.35,49.13,297.45,10/16/2022,20:40:24,24.228576750894018,0.16517061635511646
496,paleo,Turkey Soup,american,1142.58,693.64,287.86,10/16/2022,17:24:13,1.6472233411463824,2.4096435683678052
3893,keto,Sara Louise's Keto Smoked Holiday Turkey,american,1092.0,49.28,313.81,10/16/2022,18:06:27,22.15909045943404,0.15703769746968643
7191,dash,Barbecue Chicken Legs,mediterranean,1017.25,241.93,1002.07,10/16/2022,20:36:46,4.204728623135913,0.24143023916350131
5066,mediterranean,Fava Bean Salad with Mountain Ham and Mint,american,970.31,823.34,322.84,10/16/2022,16:47:37,1.1785046260615242,2.550303548041434
7177,dash,12th Man Hot Wings,american,807.03,49.17,649.49,10/16/2022,20:36:46,16.413056408113558,0.07570555347163843
4002,keto,"Mayo Free Deviled Eggs (Paleo, Whole30 + Keto)",italian,766.99,41.29,287.59,10/16/2022,18:07:10,18.575683735149344,0.143572446386966
4231,keto,"Low Carb Beef and Cheddar Cauliflower Bake, THM S meal, Keto too",british,710.81,112.56,1154.61,10/16/2022,18:08:58,6.314943085332772,0.09748746321486262
4142,keto,"Orange and Five-Spice Roasted Chicken Legs | Keto, Paleo",mediterranean,677.22,41.71,686.9,10/16/2022,18:08:10,16.236393760815304,0.06072208464009014
296,paleo,"Orange and Five-Spice Roasted Chicken Legs | Keto, Paleo",mediterranean,677.22,41.71,686.9,10/16/2022,17:22:38,16.236393760815304,0.06072208464009014
4063,keto,"Low Carb Salmon Cakes (Keto, Grain Free)",nordic,656.95,13.25,501.19,10/16/2022,18:07:37,49.581128333499755,0.02643707969744592
5176,mediterranean,Poached Salt Cod with Vegetables and Garlic Mayonnaise,mediterranean,656.65,315.52,73.73,10/16/2022,16:48:18,2.0811675897528916,4.279397744752505
5420,mediterranean,Mediterranean Pizza,italian,628.29,3405.55,333.76,10/16/2022,16:49:45,0.18449002358371186,10.203589374989246
4894,mediterranean,Orange and Cumin Leg of Lamb with Roasted Tomatoes and Garlic Recipe,mediterranean,607.03,109.27,489.93,10/16/2022,16:46:37,5.555321629401285,0.2230318612392957
9,paleo,Vietnamese Pho Pressure Cooker (Noodle Soup),south east asian,602.91,274.87,400.01,10/16/2022,17:20:09,2.1934368894625207,0.6871578193366221
5173,mediterranean,Meatballs Braised with Kale,mediterranean,531.48,279.16,566.41,10/16/2022,16:48:18,1.9038544135841293,0.49285852916993256
7730,dash,Jazzed Up Turkey Tetrazzini,american,517.47,575.58,377.75,10/16/2022,20:40:17,0.8990409658100682,1.523706150830692
379,paleo,Paleo Slow Cooker Honey Garlic Chicken and Vegetables recipes,mediterranean,501.65,312.39,58.06,10/16/2022,17:23:19,1.6058452523901365,5.380468388211016
2282,vegan,Tangy Teriyaki Salmon,nordic,431.1,39.47,276.51,10/16/2022,20:10:03,10.922219130422624,0.14274348073218515
2495,vegan,Mini nut roasts with candied carrots,american,421.72,1636.67,267.25,10/16/2022,20:11:32,0.2576695361571547,6.124115973342878
1710,vegan,Vegan Pinto Bean Chili,american,381.55,1264.46,37.23,10/16/2022,20:05:44,0.3017493631259594,33.963469407373914
1711,vegan,Vegan Chili and Cornbread Casserole,american,319.54,1159.0,291.7,10/16/2022,20:05:51,0.2757031921693674,3.9732601852133693
2123,vegan,Kentucky fried seitan,mediterranean,317.43,703.99,534.41,10/16/2022,20:08:53,0.450901290571029,1.3173219039364499
