Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time
paleo,Swiss Paleo’s Homemade Italian & Chorizo Sausage,italian,1273.61,83.34,1608.54,10/16/2022,17:21:11
dash,Salmon Mousse,nordic,1239.47,22.4,983.36,10/16/2022,20:38:27
dash,Homemade Turkey Alphabet Soup,american,1190.35,49.13,297.45,10/16/2022,20:40:24
paleo,Turkey Soup,american,1142.58,693.64,287.86,10/16/2022,17:24:13
keto,Sara Louise's Keto Smoked Holiday Turkey,american,1092.0,49.28,313.81,10/16/2022,18:06:27
dash,Barbecue Chicken Legs,mediterranean,1017.25,241.93,1002.07,10/16/2022,20:36:46
mediterranean,Fava Bean Salad with Mountain Ham and Mint,american,970.31,823.34,322.84,10/16/2022,16:47:37
dash,12th Man Hot Wings,american,807.03,49.17,649.49,10/16/2022,20:36:46
keto,"Mayo Free Deviled Eggs (Paleo, Whole30 + Keto)",italian,766.99,41.29,287.59,10/16/2022,18:07:10
keto,"Low Carb Beef and Cheddar Cauliflower Bake, THM S meal, Keto too",british,710.81,112.56,1154.61,10/16/2022,18:08:58
keto,"Orange and Five-Spice Roasted Chicken Legs | Keto, Paleo",mediterranean,677.22,41.71,686.9,10/16/2022,18:08:10
paleo,"Orange and Five-Spice Roasted Chicken Legs | Keto, Paleo",mediterranean,677.22,41.71,686.9,10/16/2022,17:22:38
keto,"Low Carb Salmon Cakes (Keto, Grain Free)",nordic,656.95,13.25,501.19,10/16/2022,18:07:37
mediterranean,Poached Salt Cod with Vegetables and Garlic Mayonnaise,mediterranean,656.65,315.52,73.73,10/16/2022,16:48:18
mediterranean,Mediterranean Pizza,italian,628.29,3405.55,333.76,10/16/2022,16:49:45
mediterranean,Orange and Cumin Leg of Lamb with Roasted Tomatoes and Garlic Recipe,mediterranean,607.03,109.27,489.93,10/16/2022,16:46:37
paleo,Vietnamese Pho Pressure Cooker (Noodle Soup),south east asian,602.91,274.87,400.01,10/16/2022,17:20:09
mediterranean,Meatballs Braised with Kale,mediterranean,531.48,279.16,566.41,10/16/2022,16:48:18
dash,Jazzed Up Turkey Tetrazzini,american,517.47,575.58,377.75,10/16/2022,20:40:17
paleo,Paleo Slow Cooker Honey Garlic Chicken and Vegetables recipes,mediterranean,501.65,312.39,58.06,10/16/2022,17:23:19
vegan,Tangy Teriyaki Salmon,nordic,431.1,39.47,276.51,10/16/2022,20:10:03
vegan,Mini nut roasts with candied carrots,american,421.72,1636.67,267.25,10/16/2022,20:11:32
vegan,Vegan Pinto Bean Chili,american,381.55,1264.46,37.23,10/16/2022,20:05:44
vegan,Vegan Chili and Cornbread Casserole,american,319.54,1159.0,291.7,10/16/2022,20:05:51
vegan,Kentucky fried seitan,mediterranean,317.43,703.99,534.41,10/16/2022,20:08:53
